pl_name,pl_orbper,pl_orbsmax,st_mass,discoverymethod,disc_year
"Kepler-6 b",3.23469960000,0.0485200000,1.209000,"Transit",2009
"Kepler-257 b",2.38266700000,0.0340000000,,"Transit",2014
"Kepler-216 b",7.69364100000,0.0790000000,,"Transit",2014
"Kepler-32 c",8.75220000000,0.0900000000,0.580000,"Transit",2011
"Kepler-259 c",36.92493100000,0.2170000000,,"Transit",2014
"Kepler-148 c",4.18004300000,0.0500000000,,"Transit",2014
"Kepler-222 d",28.08191200000,0.1800000000,,"Transit",2014
"Kepler-179 b",2.73592600000,0.0360000000,,"Transit",2014
"Kepler-165 c",15.31299000000,0.1100000000,,"Transit",2014
"Kepler-228 c",4.13444400000,0.0520000000,,"Transit",2014
"Kepler-20 c",10.85407740000,0.0936000000,0.929000,"Transit",2011
"Kepler-197 d",15.67756300000,0.1190000000,,"Transit",2014
"K2-270 b",1.54306900000,0.0247000000,0.850000,"Transit",2018
"Kepler-184 d",29.02235800000,0.1790000000,,"Transit",2014
"Kepler-257 d",24.66455100000,0.1600000000,,"Transit",2014
"K2-280 b",19.89526000000,0.1461000000,1.030000,"Transit",2018
"Kepler-222 c",10.08881000000,0.0910000000,,"Transit",2014
"HATS-36 b",4.17518600000,0.0523000000,1.100000,"Transit",2018
"Kepler-229 b",6.25297200000,0.0620000000,,"Transit",2014
"K2-222 b",15.38892740000,0.1186000000,0.940000,"Transit",2018
"K2-216 b",2.17480000000,0.0280000000,0.700000,"Transit",2018
"Kepler-166 c",34.26028100000,0.1950000000,,"Transit",2014
"K2-151 b",3.83547600000,0.0373000000,0.470000,"Transit",2018
"K2-295 b",4.02486700000,0.0451000000,0.740000,"Transit",2018
"K2-283 b",1.92103600000,0.0291000000,0.890000,"Transit",2018
"K2-281 b",8.68772100000,0.0773000000,0.820000,"Transit",2018
"Kepler-197 b",5.59930800000,0.0600000000,,"Transit",2014
"K2-157 b",0.36525750000,0.0096200000,0.890000,"Transit",2018
"K2-158 b",10.06049000000,0.0887000000,0.920000,"Transit",2018
"K2-244 b",21.06884000000,0.1418000000,0.860000,"Transit",2018
"Kepler-108 c",190.32349400000,0.7210000000,,"Transit",2014
"K2-159 b",12.42205000000,0.1013000000,0.900000,"Transit",2018
"K2-162 b",9.45889000000,0.0795000000,0.750000,"Transit",2018
"Kepler-108 b",49.18392100000,0.2920000000,,"Transit",2014
"EPIC 201595106 b",0.87724000000,0.0177000000,0.958000,"Transit",2021
