"date","subways_total_estimated_ridership","buses_total_estimated_ridersip"
"2020-03-01T00:00:00.000","2212965","984908"
"2020-03-02T00:00:00.000","5329915","2209066"
"2020-03-03T00:00:00.000","5481103","2228608"
"2020-03-04T00:00:00.000","5498809","2177165"
"2020-03-05T00:00:00.000","5496453","2244515"
"2020-03-06T00:00:00.000","5189447","2066743"
"2020-03-07T00:00:00.000","2814637","1249085"
"2020-03-08T00:00:00.000","2120656","957163"
"2020-03-09T00:00:00.000","4973513","2124770"
"2020-03-10T00:00:00.000","4867818","2111989"
"2020-03-11T00:00:00.000","4697122","2112967"
"2020-03-12T00:00:00.000","4149505","1938424"
"2020-03-13T00:00:00.000","3484996","1715737"
"2020-03-14T00:00:00.000","1670665","993287"
"2020-03-15T00:00:00.000","1157711","711555"
"2020-03-16T00:00:00.000","2178555","1237309"
"2020-03-17T00:00:00.000","1788786","1094949"
"2020-03-18T00:00:00.000","1625280","1059502"
"2020-03-19T00:00:00.000","1422112","933602"
"2020-03-20T00:00:00.000","1309125","868602"
"2020-03-21T00:00:00.000","619618","411491"
"2020-03-22T00:00:00.000","408723","73517"
"2020-03-23T00:00:00.000","709499","59321"
"2020-03-24T00:00:00.000","741587","60334"
"2020-03-25T00:00:00.000","690032","51769"
"2020-03-26T00:00:00.000","680360","49970"
"2020-03-27T00:00:00.000","656817","45514"
"2020-03-28T00:00:00.000","332393","19745"
"2020-03-29T00:00:00.000","263700","14307"
"2020-03-30T00:00:00.000","545215","33659"
"2020-03-31T00:00:00.000","508106","32211"
"2020-04-01T00:00:00.000","513481","29373"
"2020-04-02T00:00:00.000","485586","26788"
"2020-04-03T00:00:00.000","483357","24418"
"2020-04-04T00:00:00.000","282278","13168"
"2020-04-05T00:00:00.000","227303","9748"
"2020-04-06T00:00:00.000","445454","22418"
"2020-04-07T00:00:00.000","434986","21623"
"2020-04-08T00:00:00.000","427485","20361"
"2020-04-09T00:00:00.000","404635","18734"
"2020-04-10T00:00:00.000","400275","17135"
"2020-04-11T00:00:00.000","257061","9718"
"2020-04-12T00:00:00.000","198399","7041"
"2020-04-13T00:00:00.000","363312","14408"
"2020-04-14T00:00:00.000","430155","17937"
"2020-04-15T00:00:00.000","419059","16895"
"2020-04-16T00:00:00.000","420223","16632"
"2020-04-17T00:00:00.000","432368","16350"
"2020-04-18T00:00:00.000","254453","8115"
"2020-04-19T00:00:00.000","224411","6929"
"2020-04-20T00:00:00.000","437852","16522"
"2020-04-21T00:00:00.000","422107","15231"
"2020-04-22T00:00:00.000","458781","16487"
"2020-04-23T00:00:00.000","453520","15786"
"2020-04-24T00:00:00.000","443956","14237"
"2020-04-25T00:00:00.000","295387","8832"
"2020-04-26T00:00:00.000","218787","5498"
"2020-04-27T00:00:00.000","462888","15283"
"2020-04-28T00:00:00.000","489247","16380"
"2020-04-29T00:00:00.000","477799","15406"
"2020-04-30T00:00:00.000","465869","14062"
"2020-05-01T00:00:00.000","494549","14893"
"2020-05-02T00:00:00.000","325865","8912"
"2020-05-03T00:00:00.000","258865","6404"
"2020-05-04T00:00:00.000","511866","16315"
"2020-05-05T00:00:00.000","522085","16377"
"2020-05-06T00:00:00.000","508824","15677"
"2020-05-07T00:00:00.000","535073","16130"
"2020-05-08T00:00:00.000","526054","14571"
"2020-05-09T00:00:00.000","316883","7594"
"2020-05-10T00:00:00.000","271947","6367"
"2020-05-11T00:00:00.000","520873","15176"
"2020-05-12T00:00:00.000","553372","15989"
"2020-05-13T00:00:00.000","565377","16170"
"2020-05-14T00:00:00.000","567392","15905"
"2020-05-15T00:00:00.000","587808","15481"
"2020-05-16T00:00:00.000","360844","8742"
"2020-05-17T00:00:00.000","287418","6504"
"2020-05-18T00:00:00.000","595469","17206"
"2020-05-19T00:00:00.000","610884","17296"
"2020-05-20T00:00:00.000","623749","17674"
"2020-05-21T00:00:00.000","629298","17565"
"2020-05-22T00:00:00.000","633883","16453"
"2020-05-23T00:00:00.000","335830","7186"
"2020-05-24T00:00:00.000","320015","6642"
"2020-05-25T00:00:00.000","393918","7996"
"2020-05-26T00:00:00.000","656766","17819"
"2020-05-27T00:00:00.000","674465","17911"
"2020-05-28T00:00:00.000","658057","17535"
"2020-05-29T00:00:00.000","657259","16378"
"2020-05-30T00:00:00.000","426737","9112"
"2020-05-31T00:00:00.000","344426","6724"
"2020-06-01T00:00:00.000","687162","17833"
"2020-06-02T00:00:00.000","693760","16576"
"2020-06-03T00:00:00.000","681714","17830"
"2020-06-04T00:00:00.000","726672","18538"
"2020-06-05T00:00:00.000","703576","16863"
"2020-06-06T00:00:00.000","464198","8912"
"2020-06-07T00:00:00.000","377990","7579"
"2020-06-08T00:00:00.000","804542","25663"
"2020-06-09T00:00:00.000","842306","26247"
"2020-06-10T00:00:00.000","857015","26735"
"2020-06-11T00:00:00.000","818297","24284"
"2020-06-12T00:00:00.000","896658","24459"
"2020-06-13T00:00:00.000","545316","12115"
"2020-06-14T00:00:00.000","430439","8731"
"2020-06-15T00:00:00.000","897112","27057"
"2020-06-16T00:00:00.000","932671","28049"
"2020-06-17T00:00:00.000","948461","27924"
"2020-06-18T00:00:00.000","942382","27516"
"2020-06-19T00:00:00.000","986929","25578"
"2020-06-20T00:00:00.000","576075","11899"
"2020-06-21T00:00:00.000","449497","9072"
"2020-06-22T00:00:00.000","1000046","30863"
"2020-06-23T00:00:00.000","1050786","32305"
"2020-06-24T00:00:00.000","1068333","32504"
"2020-06-25T00:00:00.000","1078796","32393"
"2020-06-26T00:00:00.000","1102382","30480"
"2020-06-27T00:00:00.000","615398","12942"
"2020-06-28T00:00:00.000","535898","10167"
"2020-06-29T00:00:00.000","1100769","33264"
"2020-06-30T00:00:00.000","1113124","33996"
"2020-07-01T00:00:00.000","1120537","32921"
"2020-07-02T00:00:00.000","1170483","32730"
"2020-07-03T00:00:00.000","851877","16862"
"2020-07-04T00:00:00.000","591605","10769"
"2020-07-05T00:00:00.000","533692","9832"
"2020-07-06T00:00:00.000","1084956","31548"
"2020-07-07T00:00:00.000","1157185","33595"
"2020-07-08T00:00:00.000","1172279","34242"
"2020-07-09T00:00:00.000","1211280","34762"
"2020-07-10T00:00:00.000","1030632","25544"
"2020-07-11T00:00:00.000","692977","12872"
"2020-07-12T00:00:00.000","628187","10966"
"2020-07-13T00:00:00.000","1175700","33302"
"2020-07-14T00:00:00.000","1241080","35391"
"2020-07-15T00:00:00.000","1248413","34701"
"2020-07-16T00:00:00.000","1249128","34199"
"2020-07-17T00:00:00.000","1207265","29696"
"2020-07-18T00:00:00.000","778936","14335"
"2020-07-19T00:00:00.000","584994","9845"
"2020-07-20T00:00:00.000","1156735","30196"
"2020-07-21T00:00:00.000","1241819","32482"
"2020-07-22T00:00:00.000","1233668","33863"
"2020-07-23T00:00:00.000","1233795","33999"
"2020-07-24T00:00:00.000","1218138","29987"
"2020-07-25T00:00:00.000","816604","14777"
"2020-07-26T00:00:00.000","606910","9711"
"2020-07-27T00:00:00.000","1203503","32072"
"2020-07-28T00:00:00.000","1241770","33753"
"2020-07-29T00:00:00.000","1296102","35257"
"2020-07-30T00:00:00.000","1270172","33982"
"2020-07-31T00:00:00.000","1258539","29917"
"2020-08-01T00:00:00.000","842468","16087"
"2020-08-02T00:00:00.000","590060","9874"
"2020-08-03T00:00:00.000","1272996","36945"
"2020-08-04T00:00:00.000","1027187","29426"
"2020-08-05T00:00:00.000","1348202","38283"
"2020-08-06T00:00:00.000","1334694","37059"
"2020-08-07T00:00:00.000","1283894","32170"
"2020-08-08T00:00:00.000","833287","15143"
"2020-08-09T00:00:00.000","662993","11534"
"2020-08-10T00:00:00.000","1275268","34883"
"2020-08-11T00:00:00.000","1319814","36426"
"2020-08-12T00:00:00.000","1298963","36053"
"2020-08-13T00:00:00.000","1291277","34723"
"2020-08-14T00:00:00.000","1355786","32713"
"2020-08-15T00:00:00.000","860789","15522"
"2020-08-16T00:00:00.000","554451","8603"
"2020-08-17T00:00:00.000","1304485","34768"
"2020-08-18T00:00:00.000","1369617","36646"
"2020-08-19T00:00:00.000","1292148","34181"
"2020-08-20T00:00:00.000","1410489","35059"
"2020-08-21T00:00:00.000","1387463","31342"
"2020-08-22T00:00:00.000","882522","13705"
"2020-08-23T00:00:00.000","671560","9698"
"2020-08-24T00:00:00.000","1307345","34021"
"2020-08-25T00:00:00.000","1346490","34993"
"2020-08-26T00:00:00.000","1407639","35975"
"2020-08-27T00:00:00.000","1358272","33969"
"2020-08-28T00:00:00.000","1388583","31956"
"2020-08-29T00:00:00.000","773667","14035"
"2020-08-30T00:00:00.000","748061","16027"
"2020-08-31T00:00:00.000","1397264","787291"
"2020-09-01T00:00:00.000","1469274","947758"
"2020-09-02T00:00:00.000","1487969","972213"
"2020-09-03T00:00:00.000","1529185","1022623"
"2020-09-04T00:00:00.000","1568385","1030811"
"2020-09-05T00:00:00.000","1013725","715922"
"2020-09-06T00:00:00.000","819409","559273"
"2020-09-07T00:00:00.000","870964","615802"
"2020-09-08T00:00:00.000","1555816","1039401"
"2020-09-09T00:00:00.000","1610076","1072887"
"2020-09-10T00:00:00.000","1543662","997030"
"2020-09-11T00:00:00.000","1690334","1070920"
"2020-09-12T00:00:00.000","1083698","752875"
"2020-09-13T00:00:00.000","796740","557231"
"2020-09-14T00:00:00.000","1604381","1065601"
"2020-09-15T00:00:00.000","1678078","1091806"
"2020-09-16T00:00:00.000","1686909","1097389"
"2020-09-17T00:00:00.000","1692368","1094592"
"2020-09-18T00:00:00.000","1725443","1083295"
"2020-09-19T00:00:00.000","1136947","752437"
"2020-09-20T00:00:00.000","827605","558863"
"2020-09-21T00:00:00.000","1624139","1058256"
"2020-09-22T00:00:00.000","1698504","1095678"
"2020-09-23T00:00:00.000","1735333","1119904"
"2020-09-24T00:00:00.000","1722364","1107707"
"2020-09-25T00:00:00.000","1761591","1110956"
"2020-09-26T00:00:00.000","1120143","755197"
"2020-09-27T00:00:00.000","846179","576684"
"2020-09-28T00:00:00.000","1489240","985185"
"2020-09-29T00:00:00.000","1661264","1057135"
"2020-09-30T00:00:00.000","1740820","1101663"
"2020-10-01T00:00:00.000","1809958","1159859"
"2020-10-02T00:00:00.000","1790612","1115793"
"2020-10-03T00:00:00.000","1168040","777674"
"2020-10-04T00:00:00.000","852830","570608"
"2020-10-05T00:00:00.000","1678792","1102675"
"2020-10-06T00:00:00.000","1758454","1137217"
"2020-10-07T00:00:00.000","1770617","1123231"
"2020-10-08T00:00:00.000","1798005","1126770"
"2020-10-09T00:00:00.000","1808079","1117172"
"2020-10-10T00:00:00.000","1170227","771088"
"2020-10-11T00:00:00.000","848469","564051"
"2020-10-12T00:00:00.000","1284655","767564"
"2020-10-13T00:00:00.000","1715183","1063680"
"2020-10-14T00:00:00.000","1838682","1162256"
"2020-10-15T00:00:00.000","1853753","1152434"
"2020-10-16T00:00:00.000","1671320","974110"
"2020-10-17T00:00:00.000","1209473","778070"
"2020-10-18T00:00:00.000","896812","583350"
"2020-10-19T00:00:00.000","1719153","1105134"
"2020-10-20T00:00:00.000","1780231","1119283"
"2020-10-21T00:00:00.000","1812949","1140385"
"2020-10-22T00:00:00.000","1825208","1140210"
"2020-10-23T00:00:00.000","1842588","1123540"
"2020-10-24T00:00:00.000","1185612","775122"
"2020-10-25T00:00:00.000","885001","572347"
"2020-10-26T00:00:00.000","1690651","1061566"
"2020-10-27T00:00:00.000","1815242","1143906"
"2020-10-28T00:00:00.000","1819352","1119450"
"2020-10-29T00:00:00.000","1705072","987440"
"2020-10-30T00:00:00.000","1768018","1030639"
"2020-10-31T00:00:00.000","1174059","747636"
"2020-11-01T00:00:00.000","786675","510820"
"2020-11-02T00:00:00.000","1747908","1072262"
"2020-11-03T00:00:00.000","1602912","1027710"
"2020-11-04T00:00:00.000","1690489","1089354"
"2020-11-05T00:00:00.000","1793796","1130774"
"2020-11-06T00:00:00.000","1837314","1120729"
"2020-11-07T00:00:00.000","1246321","752851"
"2020-11-08T00:00:00.000","927670","587220"
"2020-11-09T00:00:00.000","1752614","1111203"
"2020-11-10T00:00:00.000","1836902","1151911"
"2020-11-11T00:00:00.000","1614812","969123"
"2020-11-12T00:00:00.000","1776666","1054132"
"2020-11-13T00:00:00.000","1816693","1061680"
"2020-11-14T00:00:00.000","1215477","755951"
"2020-11-15T00:00:00.000","820858","528421"
"2020-11-16T00:00:00.000","1741750","1079560"
"2020-11-17T00:00:00.000","1788847","1092416"
"2020-11-18T00:00:00.000","1787688","1065597"
"2020-11-19T00:00:00.000","1757535","1056928"
"2020-11-20T00:00:00.000","1800423","1079029"
"2020-11-21T00:00:00.000","1157957","750801"
"2020-11-22T00:00:00.000","817963","542124"
"2020-11-23T00:00:00.000","1646525","1005225"
"2020-11-24T00:00:00.000","1735702","1068789"
"2020-11-25T00:00:00.000","1688227","1037242"
"2020-11-26T00:00:00.000","652276","444391"
"2020-11-27T00:00:00.000","1263473","815993"
"2020-11-28T00:00:00.000","1032823","689580"
"2020-11-29T00:00:00.000","826974","548548"
"2020-11-30T00:00:00.000","1459131","849277"
"2020-12-01T00:00:00.000","1706348","1068627"
"2020-12-02T00:00:00.000","1699968","1026056"
"2020-12-03T00:00:00.000","1736045","1070197"
"2020-12-04T00:00:00.000","1701628","1024641"
"2020-12-05T00:00:00.000","1000240","617332"
"2020-12-06T00:00:00.000","878393","547330"
"2020-12-07T00:00:00.000","1656627","1032813"
"2020-12-08T00:00:00.000","1540893","1034410"
"2020-12-09T00:00:00.000","1701926","1018247"
"2020-12-10T00:00:00.000","1761336","1075970"
"2020-12-11T00:00:00.000","1786290","1064457"
"2020-12-12T00:00:00.000","1091352","703892"
"2020-12-13T00:00:00.000","911439","582389"
"2020-12-14T00:00:00.000","1584089","955525"
"2020-12-15T00:00:00.000","1783388","1088287"
"2020-12-16T00:00:00.000","1569079","853797"
"2020-12-17T00:00:00.000","1079818","523854"
"2020-12-18T00:00:00.000","1735664","943587"
"2020-12-19T00:00:00.000","1112827","670787"
"2020-12-20T00:00:00.000","821265","516593"
"2020-12-21T00:00:00.000","1716035","1028489"
"2020-12-22T00:00:00.000","1760948","1046799"
"2020-12-23T00:00:00.000","1772537","1048565"
"2020-12-24T00:00:00.000","1312480","822916"
"2020-12-25T00:00:00.000","485208","314171"
"2020-12-26T00:00:00.000","879170","559111"
"2020-12-27T00:00:00.000","760350","474033"
"2020-12-28T00:00:00.000","1510168","922336"
"2020-12-29T00:00:00.000","1555198","930711"
"2020-12-30T00:00:00.000","1582486","948194"
"2020-12-31T00:00:00.000","1274984","792993"
"2021-01-01T00:00:00.000","613692","378288"
"2021-01-02T00:00:00.000","988418","608686"
"2021-01-03T00:00:00.000","653187","413820"
"2021-01-04T00:00:00.000","1557977","964597"
"2021-01-05T00:00:00.000","1597518","990479"
"2021-01-06T00:00:00.000","1613629","996123"
"2021-01-07T00:00:00.000","1611099","989097"
"2021-01-08T00:00:00.000","1619242","982175"
"2021-01-09T00:00:00.000","990412","643475"
"2021-01-10T00:00:00.000","763097","501437"
"2021-01-11T00:00:00.000","1568207","966517"
"2021-01-12T00:00:00.000","1640428","997279"
"2021-01-13T00:00:00.000","1641652","996646"
"2021-01-14T00:00:00.000","1647396","1017757"
"2021-01-15T00:00:00.000","1627120","981817"
"2021-01-16T00:00:00.000","991500","645625"
"2021-01-17T00:00:00.000","797654","504031"
"2021-01-18T00:00:00.000","1276978","766926"
"2021-01-19T00:00:00.000","1635915","1013616"
"2021-01-20T00:00:00.000","1575075","921371"
"2021-01-21T00:00:00.000","1652842","1007042"
"2021-01-22T00:00:00.000","1672001","1018584"
"2021-01-23T00:00:00.000","997551","619673"
